iter	Passed	Remaining
628	4133	2437
629	4134	2427
630	413627	4012	2376
628	4012	2366
629	4013	2357
630	4014	2347
631	4015	2338
632	4015	2328
633	4016	2318
634	4017	2309
635	4018	2299
636	401640	416637	4050	2298
638	4051	2288
639	4062	2285
640	4072	2280
641	4073	2271
642	4073	2261
643	4077	2254
644	4079	2245
645	4081	2236
646	4084	2228
647	4113	2234
648	4115	2225
649	4116	2216
650	4116	2207
651	4121	2199
652	4129	2194
653	4130	2185
654	4132	2176
655	4133	2167
656	4134	2158
657	4184	2175
658	4192	2169
659	4193	2160
660	4206	2157
661	4207	2148
662	4209	2139
663	4210	2130
664	4211	2121
665	4211	2112
666	4232	2113
667	4237	2106
668	4238	2097
669	4256	2096
670	4258	2088
671	4260	2079
672	4261	2070
673	4263	2062
674	4265	2053
675	4312	2067
676	4322	2062
677	4328	2055
678	4332	2048
679	4341	2042
680	4343	2034
681	4348	2027
682	4352	2020
683	4353	2011
684	4361	2005
685	4365	1997
686	4369	1990
687	4373	1983
688	4380	1977
689	4381	1968
690	4383	1960
691	4388	1953
692	4389	1944
693	4396	1938
694	4396	1929
695	4398	1920
696	4405	1915
697	4410	1908
698	4411	1899
699	4411	1890
700	4412	1881
701	4414	1873
702	4417	1866
703	4418	1857
704	4419	1849
705	4420	1840
706	4421	1832
707	4421	1823
708	4424	1815
709	4424	1807
710	4425	1798
711	4426	1790
712	4427	1782
713	4428	1773
714	4432	1766
715	4439	1761
716	4452	1757
717	4453	1749
718	4454	1740
719	4460	1734
720	4461	1726
721	4462	1718
722	4463	1710
723	4488	1710
724	4489	1702
725	4494	1696
726	4502	1690
727	4502	1682
728	4509	1676
729	4510	1668
730	4512	1660
731	4513	1652
732	4522	1647
733	4528	1641
734	4543	1638
735	4546	1630
736	4548	1623
737	4549	1614
738	4561	1611
739	4562	1603
740	4563	1595
741	4564	1587
742	4565	1579
743	4588	1578
744	4591	1571
745	4594	1564
746	4595	1556
747	4616	1555
748	4623	1549
749	4624	1541
750	4625	1533
751	4631	1527
752	4634	1520
753	4638	1513
754	4642	1506
755	4644	1499
756	4647	1491
757	4647	1483
758	4648	1475
759	4655	1470
760	4655	1462
761	4656	1454
762	4669	1450
763	4670	1442
764	4670	1434
765	4671	1427
766	4672	1419
767	4691	1417
768	4692	1409
769	4693	1401
770	4703	1397
771	4709	1390
772	4716	1384
773	4718	1377
774	4724	1371
775	4725	1364
776	4736	1359
777	4738	1352
778	4738	1344
779	4741	1337
780	4743	1330
781	4743	1322
782	4745	1315
783	4764	1312
784	4769	1306
785	4770	1298
786	4783	1294
787	4788	1288
788	4789	1280
789	4791	1273
790	4791	1266
791	4792	1258
792	4801	1253
793	4801	1245
794	4803	1238
795	4803	1231
796	4819	1227
797	4819	1220
798	4820	1212
799	4828	1207
800	4831	1200
801	4842	1195
802	4843	1188
803	4849	1182
804	4852	1175
805	4858	1169
806	4861	1162
807	4883	1160
808	4887	1153
809	4888	1146
810	4895	1140
811	4896	1133
812	4897	1126
813	4907	1121
814	4912	1115
815	4916	1108
816	4922	1102
817	4923	1095
818	4924	1088
819	4926	1081
820	4932	1075
821	4938	1069
822	4940	1062
823	4943	1055
824	4946	1049
825	4950	1042
826	4955	1036
827	4956	1029
828	4956	1022
829	4958	1015
830	4958	1008
831	4959	1001
832	4992	1000
833	4993	993
834	4994	986
835	4995	979
836	4995	972
837	4997	966
838	5012	961
839	5012	954
840	5013	947
841	5014	940
842	5015	933
843	5016	927
844	5017	920
845	5017	913
846	5018	906
847	5019	899
848	5019	892
849	5020	885
850	5020	879
851	5021	872
852	5022	865
853	5022	858
854	5023	851
855	5023	845
856	5024	838
857	5025	831
858	5025	824
859	5025	818
860	5027	811
861	5027	804
862	5028	798
863	5029	791
864	5029	784
865	5030	778
866	5031	771
867	5032	765
868	5032	758
869	5034	752
870	5035	745
871	875	5148	728
876	5151	722
877	5155	716
878	5157	709
879	5159	703
880	5161	697
881	5168	691
882	5173	685
883	5176	679
884	5179	673
885	5182	666
886	5183	660
887	5187	654
888	5189	648
889	5195	642
890	5199	636
891	5201	629
892	5204	623
893	5206	617
894	5214	611
895	5223	606
896	5229	600
897	5231	594
898	5236	588
899	5239	582
900	5243	576
901	5245	569
902	5249	563
903	5253	557
904	5257	551
905	5261	545
906	5264	539
907	5267	533
908	5270	527
909	5272	521
910	5273	515
911	5274	508
912	5276	502
913	5277	496
914	5279	490
915	5281	484
916	5282	478
917	5283	471
918	5284	465
919	5285	459
920	5286	453
921	5287	447
922	5288	441
923	5289	435
924	5290	428
925	5291	422
926	5292	416
927	5293	410
928	5293	404
929	5294	398
930	5295	392
931	5297	386
932	5298	380
933	5299	374
934	5300	368
935	5301	362
936	5302	356
937	5303	350
938	5304	344
939	5305	338
940	5306	332
941	5307	326
942	5308	320
943	5309	314
944	5310	309
945	5310	303
946	5311	297
947	5312	291
948	5313	285
949	5314	279
950	5315	273
951	5316	268
952	5317	262
953	5318	256
954	5319	250
955	5320	244
956	5321	239
957	5321	233
958	5322	227
959	5323	221
960	5324	216
961	5325	210
962	5326	204
963	5327	198
964	5328	193
965	5329	187
966	5330	181
967	5330	176
968	5331	170
969	5332	164
970	5333	159
971	5334	153
972	5335	148
973	5336	142
974	5337	136
975	5338	131
976	5339	125
977	5340	120
978	5340	114
979	5341	109
980	5342	103
981	5343	97
982	5344	92
983	5345	86
984	5346	81
985	5347	75
986	5348	70
987	5349	64
988	5350	59
989	5350	54
990	5351	48
991	5352	43
992	5353	37
993	5354	32
994	5355	26
995	5356	21
996	5357	16
997	5358	10
998	5359	5
999	5360	0

996	5129	15
997	5130	10
998	5130	5
999	5131	0
