iter	Logloss
0	0.6658644903
1	0.6414320204
2	0.6056342958
3	0.5900767493
4	0.5634677826
5	0.541478596
6	0.5208923098
7	0.5013837966
8	0.4763169667
9	0.4548599001
10	0.4379615784
11	0.4185985081
12	0.4011247726
13	0.3847746773114	0.368131789
15	0.3541244931
16	0.3382152981
17	0.3232459719
18	0.3084893
19	0.2945090097
20	0.2837438129
21	0.2735178508
22	0.2626095726
23	0.2528186071
24	0.2438737476
25	0.2324325017
26	0.2242093465
27	0.2165537032
28	0.2066010218
29	0.1973903293
30	0.1892978123
31	0.1832469456
32	0.1760546064
33	0.1698194231
34	0.1634866624
35	0.1577884432
36	0.1525333041
37	0.1471787256
38	0.1422661978
39	0.1363479523
40	0.1308303106
41	0.1272561815
42	0.1238107984
43	0.1193966941
44	0.1142610671
45	0.1106603562
46	0.1066721053
47	0.103322892
48	0.1001695527
49	0.09664570339
50	0.09285875351
51	0.08893784266
52	0.08579027085
53	0.08340858278
54	0.08030926235
55	0.07733637189
56	0.07451222435
57	0.07231374014
58	0.0704375373
59	0.06795437374
60	0.06552108129
61	0.06317119371
62	0.06050469383
63	0.05870216612
64	0.05684544548
65	0.0551168086
66	0.05358854173
67	0.05151726708
68	0.04977363632
69	0.04819953252
70	0.04631423193
771	0.0457349126372	0.04307381312
73	0.0415010528
74	0.04000374627
75	0.03875405448
76	0.03738933518
7777	0.03729122404
78	0.03661333947
79	0.03563979315
80	0.03463913146
81	0.03358375458
82	0.03239699772
83	0.03173918383
84	0.03077938822
85	0.03006201131
86	0.02902151289
87	0.02815055469
88	0.02745486063
89	0.02669328924
90	0.02614911776
91	0.02537408329
92	0.0247831004
93	0.02403024076
94	0.02339492147
95	0.02272982446
96	0.0222333821
97	0.02159764653
98	0.02091905238
99	0.02037933516
100	0.01982882666
101	0.01946043211
102	0.01896233407
103	0.0185308797
104	0.01809400793
105	0.01764846983
106	0.01715783467
107	0.01676359442
108	0.01634307892
109	0.01590739924
110	0.0154296103
111	0.01503534355
112	0.01463461679
113	0.0143492657
114	0.01396741375
115	0.01369686259
116	0.0133640804
117	0.01303548283
118	0.01272481964
